교실명,운영자,소재지,전화번호,운영기간,운영횟수,수강(명),설치일,신고여부
대전중부실버대학,대전중부실버대학,대전광역시 동구 동서대로 1748번길40(가양동),042-622-9993,"3~6월, 9~12월","주2회(월, 목)",200,09.09.15,신고
대전금성노인대학,대전금성노인대학,대전광역시 동구 홍도로 63(홍도동),042-635-5976,"3~6월, 9~12월",주5회(월~금),300,15.10.21,신고
중구지회부설노인대학,(사)대한노인회 중구지회,대전광역시 중구 유등천동로 396(태평동),042-524-6937,"3~7월, 9~12월",수,175,98.03.12,신고
한마음실버대학,한마음실버대학,"대전광역시 서구 신갈마로 46, 116동 1108호(내동, 롯데아파트)",,연중,주1회,70,18.11.26,시고
유성노인대학,(사)대한노인회 대전광역시 유성구지회,대전광역시 유성구 동서대로5번길 21-13(구암동),042-826-4610,연중,금,150,81.09.01,신고
전민동노인샛별대학,대전교구천주교회유지재단전민동성당,대전광역시 유성구 엑스포로 482(전민동),042-863-8803,연중,수,100,04.09.23,신고
소화다혜대학,대전교구천주교유지재단유성성당,대전광역시 유성구 계룡로 46번길 23(봉명동),042-823-4751,연중,금,100,11.10.19,신고
명성실버대학,대한예수교장로회대전명성교회,"대전광역시 유성구 구즉로58번길 53(송강동, 대전명성교회)",042-934-9119,연중,목,250,15. 8.12,신고
노은교회은빛대학,노은기독교한국침례교회,대전광역시 유성구 노은서로 133(노은동),042-823-2300,연중,목,100,15.10.23,신고
한밭실버대학,한밭제일교회복지재단,대전광역시 유성구 계백로 913(원내동),042-541-3990,연중,목,170,16.01.07,신고
성요셉대학,대전교구천주교회유지재단,대전광역시 유성구 교촌로10번길 17(교촌동),042-542-7004,연중,금,50,16.02.18,신고
푸른솔대학,대전교구천주교유지재단하기동성당,대전광역시 유성구 송림로 49(하기동),042-823-7621,연중,금,51,17.03.27,신고
유성장로교회 경로대학,대한예수교장로회 유성교회,대전광역시 유성구 계룡로16번길 16(구암동),042-822-4904,연중,목,50,17.11.16,신고
