연번,구분,문화재종류,문화재명,종별,소재지도로명주소,소재지지번주소,위도,경도,지정일자,소유주체구분,소유자명,규모,조성시대,문화재설명,관리기관전화번호,관리기관명,데이터기준일자
1,국보,고서,조선왕조실록 태백산본,국보 제151-2호,부산광역시연제구경기장로28,부산광역시연제구거제동1400,35.19080037,129.0536803,1973-12-31,국유,문화재청,,조선시대,조선태조때부터철종에이르기까지25대472년간의역사적사실을연월일순에의하여편년체로편찬한기록이다.1997년10월훈민정음과함께유네스코세계기록유산으로등록되었다,051-550-8021,국가기록원역사기록관,2021-03-15
2,문화재,사적,연산동고분군,사적 제539호,,부산광역시연제구연산동산90-4,35.185542,129.091659,2017-06-30,국유,부산시,"66,068㎡",삼국시대,"삼국시대부산의정체성과자치성을나타내는문화의존재가확인되었으며,지하로된수혈식석곽과주곽과부곽으로구분한구조등복천동고분군의전통을계승하면서도대규모의봉분이조성되었다.",051-665-4066,연제구청,2021-03-15
3,기념물,성곽,배산성지,시 지정기념물 제4호,,부산광역시연제구연산동산38-6,35.180389,129.096111,1972-06-26,국유,부산시,"22,933㎡",삼국시대,"배산성지는연제구연산동에위치한배산(盃山)의중턱과정상부에있는옛성터로,이지역의옛지명인거칠산국(居漆山國)시대의유적인것으로추측되고있다",051-665-4066,연제구청,2021-03-15
4,유형문화재,불화,마하사 현왕도,시지정유형문화재 제54호,부산광역시금정구범어사로250,부산광역시금정구청룡동546,35.28304264,129.0676208,2003-09-16,사유,마하사,1폭,,"현왕도는사람이죽어서3일후에받는심판을주재하는현왕을중심으로묘사한불화이다.현왕은염마왕(閻魔王,염라대왕)을여래화시킨것이다.",051-852-2436,마하사,2021-03-15
5,문화재자료,불화,혜원정사 팔상도,시지정문화재자료 제9호,부산광역시연제구고분로68번길47,부산광역시연제구연산동1113-5,35.18411705,129.0906012,2002-05-06,사유,혜원정사,1폭,근대,작품의상태가양호할뿐아니라근대한국미술에대한재검토와중요성이부각되는흐름속에서18세기팔상도의전통도상계승과변화라는시점에서살펴볼때의미있는작품이라할수있다,051-866-7771,혜원정사,2021-03-15
6,문화재자료,불화,마하사 영산회상도,시지정문화재자료 제15호,부산광역시금정구범어사로250,부산광역시금정구청룡동546,35.28304264,129.0676208,2003-09-16,사유,마하사,1폭,,조선후기부산·경남지역의불교미술양식과계보를살필수있는자료적가치가있는문화재로평가된다,051-852-2436,마하사,2021-03-15
7,문화재자료,불화,마하사 응진전 영산회상도,시지정문화재자료 제16호,부산광역시연제구봉수로138(마하사),부산광역시연제구연산동2039,35.16383023,129.087574,2003-09-16,사유,마하사,1폭,조선후기,조선후기부산·경남지역의불교미술양식과계보를살필수있는자료적가치가있는문화재로평가된다,051-852-2436,마하사,2021-03-15
8,문화재자료,불화,마하사 응진전 십육나한도,시지정문화재자료 제17호,부산광역시연제구봉수로138(마하사),부산광역시연제구연산동2039,35.16383023,129.087574,2003-09-16,사유,마하사,1폭,조선후기,"나한은부처님의교화를받고최고의진리에다달은부처님의제자로이들의모습을표현한불화를나한도라고하는데,그중에서16명의뛰어난제자를그린16나한도이다.",051-852-2436,마하사,2021-03-15
9,문화재자료,불상,마하사 대웅전 석조석가여래삼존상,시지정문화재자료 제18호,부산광역시연제구봉수로138(마하사),부산광역시연제구연산동2039,35.16383023,129.087574,2003-09-16,사유,마하사,불상,조선후기,보존상태가양호하여조선후기부산·경남지역의불교조각의양식과계보를살필수있는자료적가치가있는문화재로평가된다,051-852-2436,마하사,2021-03-15
10,문화재자료,불상,마하사 응진전 목조석가여래상,시지정문화재자료 제19호,부산광역시연제구봉수로138(마하사),부산광역시연제구연산동2039,35.16383023,129.087574,2003-09-16,사유,마하사,불상,조선후기,"현재마하사응진전전각의주존불로모셔져있으며,전반적으로보존상태가양호하다.",051-852-2436,마하사,2021-03-15
11,문화재자료,불상,마하사 응진전 석조나한상,시지정문화재자료 제20호,부산광역시연제구봉수로138(마하사),부산광역시연제구연산동2039,35.16383023,129.087574,2003-09-16,사유,마하사,불상,조선후기,"18세기∼조선말기사이에제작된작품으로서,조선후기부산·경남지역의불교조각의양식과계보를살필수있는자료적가치가있는문화재로평가된다",051-852-2436,마하사,2021-03-15
