연번,광역자치단체,법인명,대표자성명,상호,업태,소재지,건물연면적(㎡),영업장면적(㎡),판매면적(㎡),영업개시일,전통상업보존구역
1,세종,홈플러스주식회사,김상현,홈플러스 조치원점,대형마트,조치원읍 허만석로 60,17956,14762,8459,2008-05-09,해당없음 
2,세종,홈플러스주식회사,김상현,홈플러스 세종점,쇼핑센터,절재로 154,45759,26890,15819,2014-11-06,해당없음 
3,세종,㈜이마트,이갑수,㈜이마트 세종점,대형마트,금송로 687,31886,20242,12803,2015-02-05,해당없음 
4,세종,,,코스트코코리아 세종점,대형마트,종합운동장1로 14,,,,,
5,세종,,,GS더프레시 세종가락마을점,준대규모점포,만남로 187,,,,,
6,세종,,,이마트에브리데이 세종다정점,준대규모점포,다정동 944,,,,,
7,세종,,,이마트에브리데이 세종메이저점,준대규모점포,새롬남로 18 상가동 109 118호,,,,,
8,세종,,,이마트에브리데이 세종종촌점,준대규모점포,도움3로 105-6,,,,,
9,세종,,,GS더프레시 세종도담점,준대규모점포,보듬4로 9,,,,,
10,세종,,,이마트에브리데이 세종도담점,준대규모점포,"보람로 96 상가동 101~108, 113호",,,,,
11,세종,,,이마트에브리데이 세종고운점,준대규모점포,마음안1로 155 102호,,,,,
12,세종,,,롯데슈퍼 세종고운점,준대규모점포,마음로 181,,,,,
13,세종,,,이마트에브리데이 세종소담점,준대규모점포,시청대로 236 새샘마을3단지,,,,,
14,세종,,,GS더프레시 세종아름점,준대규모점포,보듬3로 104-7,,,,,
15,세종,,,이마트에브리데이 세종신동아점,준대규모점포,보람동 730,,,,,
16,세종,,,롯데슈퍼 세종나성프레시점,준대규모점포,국세청로 32,,,,,
17,세종,,,이마트에브리데이 세종중흥점,준대규모점포,보람동로 14,,,,,
18,세종,,,롯데슈퍼 한솔마트,준대규모점포,조치원읍 섭골길 65,,,,,
19,세종,,,이마트에브리데이 세종이지더원점,준대규모점포,남세종로 469,,,,,
20,세종,,,롯데슈퍼 세종다정가맹점,준대규모점포,다정동 916,,,,,
21,세종,,,이마트에브리데이 세종가락점,준대규모점포,마음안로 13 가락마을 7단지 상가 101~109호,,,,,
22,세종,,,이마트에브리데이 세종캐슬점,준대규모점포,새롬북로 13,,,,,
23,세종,,,롯데슈퍼 세종소담점,준대규모점포,남세종로 357,,,,,
24,세종,,,W몰 세종점,아울렛,도움3로 19,,,,,
25,세종,,,비씨비지올썬,아울렛,도움3로 19 엠브릿지 M1동 비씨비지.올앤선드리,,,,,
26,세종,,,세종패션아울렛,아울렛,세종 연서면 세종로 2085,,,,,
