지정,구분,지정번호,명칭,소재지,소유자(관리자),연락처,지정일자
국가,국보,276,초조본 유가사지론 권53,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1993-04-27
국가,보물,1154,대방광불화엄경 정원본 권31,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1993-04-27
국가,보물,1155,재조본 경률이상 권1,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1993-04-27
국가,보물,1178,향약제생집성방 권6,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1993-11-05
국가,보물,1179,태산요록,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1993-11-05
국가,보물,1180,신응경,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1993-11-05
국가,보물,1205,"초조본 대방광불화엄경 주본 권67, 77",인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1994-07-29
국가,보물,1206,초조본 십주비바사론 권17,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1994-07-29
국가,보물,1207,산거사요,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1994-07-29
국가,보물,1208,춘추경좌씨전구해 권60~70,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1994-07-29
국가,보물,1209,우주두율,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1994-07-29
국가,보물,1227,식물본초,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1995-07-19
국가,보물,1249,간이벽온방(언해),인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1997-06-12
국가,보물,1250,"세의득효방 권10, 11",인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1997-06-12
국가,보물,1716,중수정화경사증류비용본초 권17,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천문화재단,032-833-4747,1911-06-21
시,유형,3,원대철제범종,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1982-03-02
시,유형,4,송대철제범종,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1982-03-02
시,유형,5,관음좌상,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1982-03-02
시,유형,13,목조여래좌상,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1990-11-09
시,유형,14,목조보살좌상,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1990-11-09
시,유형,58,"연수구 흥륜사 소장 대장 일람집 권 제7,8",인천광역시 연수구 청량로46번길 38,흥륜사,032-832-1133,1904-04-06
시,유형,59,연수구 흥륜사 소장 자치통감강목 제23상권,인천광역시 연수구 청량로46번길 38,흥륜사,032-832-1133,1904-04-06
시,유형,63,신간소문입식운기론오,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천박물관,032-833-4747,2012-07-26
시,유형,64,효경,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천박물관,032-833-4747,2012-07-26
시,유형,65,중주당현절구삼체시법 권1,인천광역시 연수구 청량로 102번길 40-9 가천박물관,가천박물관,032-833-4747,2012-07-26
시,유형,66,바리야크함 깃발,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,2015-10-07
시,유형,71,「묘법연화경」권3,인천광역시 연수구 청량로 70번길 40-17,흥륜사,032-832-1133,2015-12-02
시,유형,72,「대방광불화엄경」 진본 권21,인천광역시 연수구 청량로 70번길 40-17,흥륜사,032-832-1133,2015-12-02
시,유형,73,「대방광불화엄경」 주본 권61,인천광역시 연수구 청량로 70번길 40-17,흥륜사,032-832-1133,2015-12-02
시,유형,74,「몽산화상육도보설」,인천광역시 연수구 청량로 70번길 40-17,흥륜사,032-832-1133,2015-12-02
시,유형,75,「불설장수멸죄호제동자다라니경」,인천광역시 연수구 청량로 70번길 40-17,흥륜사,032-832-1133,2015-12-02
시,유형,77,명대철제도종,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,2019-07-29
시,기념물,8,능허대지,인천광역시 연수구 옥련동 194-54,국가(기획재정부),,1990-11-09
시,기념물,34,학익 지석묘,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1995-11-14
시,기념물,68,영일정씨 판결사공파 승지공파 동춘묘역,인천광역시 연수구 동곡재로68(동춘동),영일정씨 판결사공 승지공파 종중,032-817-3842,2020.03.02
시,문화재자료,4,각국조계석,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1990-11-09
시,문화재자료,5,원인재,인천광역시 연수구 경원대로 322,인천이씨대종회,032-821-1230,1990-11-09
시,문화재자료,6,이세주묘 출토 관 덮개,인천광역시 연수구 청량로 160번길 26 인천시립박물관,시장(시립박물관),032-440-6750,1994-11-04
시,문화재자료,27,아미타불도,인천광역시 연수구 청량로 70번길 40-17,흥륜사,032-832-1133,2014-04-16
시,문화재자료,28,신중도,인천광역시 연수구 청량로 70번길 40-17,흥륜사,032-832-1133,2014-04-16
