시도,시군구,가옥명,주소(도로명),대표자,"웹사이트 주소(홈페이지, 블로그)","운영프로그램1(정규/일시적 운영 중 택1, 정규일 경우 횟수 기재)","운영프로그램2(정규/일시적 운영 중 택1, 정규일 경우 횟수 기재)","운영프로그램3(정규/일시적 운영 중 택1, 정규일 경우 횟수 기재)",객실수
인천광역시,강화군,남취당의한옥이야기,인천광역시 강화군 화도면 해안남로 1066,김영란,http://www.kyl3850.com/,"천연염색(정규, 요청시)","전통차(정규, 요청시)","참나무 장작 불때기(정규, 요청시)",5
인천광역시,강화군,장보고 한옥펜션,인천광역시 강화군 송해면 강화대로 833번길 4430,이복희,https://hanokp.modoo.at/,,,,4
인천광역시,강화군,옛날에금잔디,인천광역시 강화군 내가면 강화서로  225번길 181,"김선희, 한창식",https://www.goldengrass.com/,"멧돌체험(정규,요청시)","떡매치기체험(정규,요청시)","전통놀이체험(정규,요청시)",3
인천광역시,강화군,남문한옥 대명헌,인천광역시 강화군 강화읍 남문안길 7,최성숙,,"다도체험(정규,요청시)","소창그림그리기(정규,요청시)","족자만들기(정규,요청시)",3
인천광역시,강화군,교동마님댁,인천광역시 강화군 교동면 교동북로467번길 13,황의환,,"천연염색(정규,요청시)","꽃차체험(정규,요청시)","장담그기체험(정규,요청시)",3
인천광역시,강화군,영섭재,인천광역시 강화군 송해면 강화대로 674번길 234,고영한,,,,,4
인천광역시,강화군,담담각,인천광역시 강화군 하점면 고려산로285번길 1429,유병돈,,개보수 공사 중(영업 개시일 미정),개보수 공사 중(영업 개시일 미정),개보수 공사 중(영업 개시일 미정),6
인천광역시,서구,자미궁,인천광역시 서구 원당대로819번길 38 (원당동),김현옥,https://jamigung.modoo.at,전통혼례체험(일시적 운영),전통놀이체험(일시적 운영),,3
인천광역시,연수구,시우재,인천광역시 연수구 동곡재로 7433(동춘동),정상진,https://blog.naver.com/shiwoojae,한복입기체험(일시적 운영),전통놀이체험(일시적 운영),,4
인천광역시,옹진군,전통한옥펜션보경,인천광역시 옹진군 영흥면 영흥서로 30,김동인,http://www.bogyeong.net/,,,,6
인천광역시,중구,오가물,인천광역시 중구 용유로380번길 21,조아름,https://cafe.naver.com/ogamul,코로나19로 미운영 ,코로나19로 미운영,코로나19로 미운영,4
인천광역시,중구,지구하우징,인천광역시 중구 용유로 380번길 27,이동원,,,,,2
