연번,공공기관(2020년),주소,"	채용목표제 대상인원",지역인재 채용인원,지역인재 채용률(%)
1,국방과학연구소,대전광역시 유성구 유성우체국 사서함 35호,17,5,29.4
2,한국생명공학연구원,대전광역시 유성구 과학로 125,0,0,0
3,한국수자원공사,대전광역시 대덕구 신탄진로 200,76,25,32.9
4,한국조폐공사,대전광역시 유성구 과학로 80-67,52,8,15.4
5,"한국한의학연구원	",대전광역시 유성구 유성대로 1672,0,0,0
6,한국과학기술원,대전광역시 유성구 대학로 291,17,0,0
7,한국원자력연구원,대전광역시 유성구 대덕대로 989번길 111,16,8,50
8,한국지질자원연구원,대전광역시 유성구 과학로 124,0,0,0
9,한국화학연구원,대전광역시 유성구 가정로 141,0,0,0
10,(주)한국가스기술공사,대전광역시 유성구 대덕대로 1227,100,18,18
11,한국특허정보원,대전광역시 서구 둔산서로 137,23,10,43.5
12,중소기업기술정보진흥원,대전광역시 유성구 대덕대로 593(,10,2,20
13,한국등산트레킹지원센터,대전광역시 대덕구 신상로67,6,0,0
14,한국철도공사,대전광역시 동구 중앙로 240,477,208,43.6
15,국가철도공단,대전광역시 대전광역시 동구 중앙로 24,135,32,23.7
16,코레일테크㈜,대전광역시 중구 대종로 476,15,3,20
17,한국과학기술정보연구원,대전광역시 대전광역시 유성구 대학로 245,0,0,0
