,시군구,청년인구,병원,사회스포츠,대학교,초중고,공항,소방서,경찰서,소형상업시설(음식점_카페_학원_편의점),대형상업시설,숙박시설,기차역,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널,인프라수,Class
0,서울_종로구,32943,496,28,3,60,0,1,23,5730,24,201,0,19,0,367,0,6952,3
1,서울_중구,28277,572,16,2,48,0,1,17,5383,62,281,1,18,0,77,0,6478,3
2,서울_용산구,52554,319,19,1,47,0,1,9,5056,23,104,9,18,1,48,0,5655,0
3,서울_성동구,67271,457,21,2,69,0,1,10,4562,22,62,3,19,0,31,0,5259,0
4,서울_광진구,91126,558,76,3,76,0,1,12,5609,26,66,0,17,0,25,1,6470,2
5,서울_동대문구,80217,597,43,4,76,0,1,12,4902,33,112,7,16,0,21,0,5824,2
6,서울_중랑구,83722,539,96,1,76,0,1,9,4410,14,89,7,18,0,5,1,5266,2
7,서울_성북구,94117,539,141,6,108,0,1,12,5371,47,93,0,21,0,48,0,6387,2
8,서울_강북구,59943,468,120,0,56,0,1,9,3806,25,101,0,15,0,18,0,4619,0
9,서울_도봉구,61212,370,90,1,71,0,1,9,3429,15,21,5,16,1,12,0,4041,0
10,서울_노원구,101260,747,205,6,159,0,1,9,5218,25,26,3,21,0,19,0,6439,2
11,서울_은평구,98566,686,35,1,111,0,1,11,5616,35,58,2,18,0,12,0,6586,2
12,서울_서대문구,71045,437,125,6,64,0,1,9,4739,14,75,2,16,0,43,0,5531,0
13,서울_마포구,93492,761,98,2,72,0,1,9,8638,31,115,2,18,1,77,0,9825,2
14,서울_양천구,84550,649,128,0,103,0,1,9,4716,27,17,0,20,1,9,0,5680,2
15,서울_강서구,136535,880,143,1,136,1,1,11,7638,34,92,1,30,0,17,0,8985,1
16,서울_구로구,84959,574,128,3,89,0,1,9,5565,49,100,6,18,1,16,0,6559,2
17,서울_금천구,56369,354,72,0,53,0,0,6,3845,26,65,3,12,0,5,0,4441,0
18,서울_영등포구,94917,794,60,0,81,0,1,11,7384,42,175,3,20,0,31,0,8602,2
19,서울_동작구,97181,601,105,3,78,0,1,8,4143,19,30,1,17,0,10,0,5016,2
20,서울_관악구,157264,706,140,1,91,0,1,10,6461,27,98,0,23,0,17,0,7575,1
21,서울_서초구,81935,1279,172,1,80,0,1,13,8169,29,80,0,20,6,62,3,9915,2
22,서울_강남구,108355,2741,261,0,119,0,1,16,15163,55,139,10,22,0,94,0,18621,2
23,서울_송파구,143645,1215,108,1,139,0,1,11,8807,46,52,1,29,2,37,0,10449,1
24,서울_강동구,95519,844,42,0,97,0,1,10,6343,39,70,0,20,0,12,0,7478,2
25,부산_중구,8049,140,15,0,14,0,1,6,2058,21,125,0,11,0,21,0,2412,3
26,부산_서구,18425,145,53,0,33,0,0,5,1663,9,68,0,15,0,8,0,1999,3
27,부산_동구,15455,170,55,0,27,0,1,6,1921,8,123,2,14,0,11,0,2338,3
28,부산_영도구,16436,142,46,2,41,0,1,5,1906,5,48,0,13,0,6,0,2215,3
29,부산_진구,75731,832,188,3,111,0,0,10,6963,55,178,3,22,0,15,0,8380,2
30,부산_동래구,46382,488,21,0,80,0,0,7,4488,30,126,3,15,0,15,0,5273,0
31,부산_남구,47538,379,56,4,78,0,0,7,4163,21,55,2,19,0,38,0,4822,0
32,부산_북구,52833,373,51,1,91,0,0,6,3471,19,88,2,15,0,10,0,4127,0
33,부산_해운대구,68385,662,100,1,102,0,1,10,7325,57,325,5,20,1,40,0,8649,0
34,부산_사하구,54995,430,41,2,98,0,1,7,4644,31,66,0,18,0,10,0,5348,0
35,부산_금정구,44260,357,92,4,76,0,1,6,3960,7,65,0,18,0,17,1,4604,0
36,부산_강서구,23640,113,121,0,59,1,1,10,2951,7,52,0,10,2,6,0,3333,3
37,부산_연제구,37451,369,25,2,47,0,1,6,3591,21,54,3,15,3,7,0,4144,3
38,부산_수영구,35665,326,48,0,41,0,1,4,3796,6,111,0,10,0,24,0,4367,3
39,부산_사상구,40407,239,77,3,70,0,1,6,3051,24,95,1,14,1,7,1,3590,3
40,부산_기장군,27182,184,171,0,69,0,1,6,3563,12,86,4,7,0,15,0,4118,3
41,대구_중구,16533,460,37,0,31,0,1,5,4209,31,102,0,15,0,48,0,4939,3
42,대구_동구,61421,479,45,0,112,1,1,9,6397,18,159,4,24,0,19,4,7272,0
43,대구_서구,29105,262,66,0,53,0,1,6,3395,27,97,0,19,0,4,1,3931,3
44,대구_남구,28526,251,45,2,44,0,0,6,3078,1,37,0,14,0,24,1,3503,3
45,대구_북구,86446,571,74,4,149,0,1,9,7442,44,70,1,23,0,22,1,8411,2
46,대구_수성구,72909,786,110,1,122,0,1,9,7919,26,72,2,25,3,26,0,9102,0
47,대구_달서구,107479,822,180,3,191,0,1,14,8913,35,101,0,24,3,15,0,10302,2
48,대구_달성군,46508,281,99,1,103,0,2,12,4055,3,55,0,11,1,10,0,4633,0
49,인천_중구,28965,126,105,0,55,1,2,7,4362,15,265,0,13,0,25,0,4976,3
50,인천_동구,9546,90,41,1,27,0,0,3,990,9,37,4,12,0,6,0,1220,3
51,인천_미추홀구,82568,481,153,2,95,0,1,10,5748,35,168,2,22,3,22,1,6743,2
52,인천_연수구,77245,407,50,1,110,0,1,6,5676,19,93,0,16,0,18,1,6398,2
53,인천_남동구,101919,745,111,0,155,0,2,12,7520,32,63,5,22,0,12,0,8679,2
54,인천_부평구,100646,635,102,0,153,0,1,13,6709,27,117,3,23,0,12,1,7796,2
55,인천_계양구,61450,373,65,2,90,0,1,6,3803,13,60,5,14,0,5,0,4437,0
56,인천_서구,106515,524,137,0,166,0,1,7,7403,15,62,6,25,0,13,0,8359,2
57,인천_강화군,7579,87,120,1,56,0,1,14,1998,2,305,1,14,1,19,1,2620,3
58,인천_옹진군,3526,28,27,0,26,0,0,6,733,0,333,0,7,0,1,0,1161,3
59,광주_동구,21164,231,115,3,40,0,1,6,3261,25,128,0,14,2,42,0,3868,3
60,광주_서구,61222,553,113,0,108,0,1,8,6949,24,147,1,20,1,21,1,7947,0
61,광주_남구,38492,331,204,4,101,0,1,7,3509,8,35,1,17,0,17,0,4235,3
62,광주_북구,87062,611,205,6,192,0,1,10,7582,16,152,1,29,2,29,0,8836,2
63,광주_광산구,82059,489,150,4,179,1,1,15,7557,11,90,5,22,0,17,0,8541,2
64,대전_동구,41858,343,105,4,81,0,1,6,4039,44,135,2,17,0,16,1,4794,0
65,대전_중구,42500,374,74,1,96,0,0,6,4330,24,185,1,18,0,28,1,5138,0
66,대전_서구,104642,896,66,3,165,0,2,11,9410,42,79,2,25,4,29,2,10736,2
67,대전_유성구,78707,466,95,5,152,0,1,6,7758,13,110,0,12,2,32,2,8654,2
68,대전_대덕구,33792,225,68,2,68,0,1,6,3603,15,83,3,13,0,10,0,4097,3
69,울산_중구,37525,238,67,0,78,0,1,7,3757,9,79,0,14,0,13,0,4263,3
70,울산_남구,64670,618,24,1,106,0,1,6,7460,16,244,4,16,2,18,3,8519,0
71,울산_동구,26280,174,18,1,60,0,1,5,3107,3,71,0,10,0,4,0,3454,3
72,울산_북구,41455,172,30,0,94,1,1,5,3492,11,52,2,9,0,9,0,3878,0
73,울산_울주군,37605,206,57,2,107,0,1,11,4586,5,195,5,13,1,18,1,5208,3
74,세종시,64602,402,47,3,155,0,2,11,5922,10,61,8,21,1,26,3,6672,0
